# SB.API_SB - Archivo semilla del mantenimiento de Entidades Gubernamentales
# Fuente: ListaEntidadesGubernamentales.xlsx (listado oficial entregado con la prueba tecnica)
# Campos: Nombre|Categoria|PoderDelEstado|Sector
# Este archivo es la fuente de verdad legible. Al iniciar la API por primera vez se
# genera GovernmentEntities.txt con identificadores, estado y datos de auditoria.
Dirección de Prensa del Presidente de la República|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Presidencia
Dirección del Comisionado Nacional de Beisbol|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Deportes y Recreación
Dirección Ejecutiva del Sistema Nacional de Atención a Emergencias y Seguridad 9-1-1|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Presidencia
Dirección General de Aduanas|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Hacienda
Dirección General de Alianzas Público Privadas|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Presidencia
Dirección General de Bellas Artes|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Cultura
Dirección General de Bienes Nacionales|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Hacienda
Dirección General de Catastro Nacional|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Hacienda
Dirección General de Cine|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Cultura
Dirección General de Contabilidad Gubernamental|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Hacienda
Dirección General de Contrataciones Públicas|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Hacienda
Dirección General de Desarrollo de la Comunidad|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Social
Dirección General de Desarrollo Fronterizo|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Presidencia
Dirección General de Embellecimiento de Carreteras y Avenidas de Circunvalación del País|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Obras Públicas y Comunicaciones
Dirección General de Ética e Integridad Gubernamental|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Presidencia
Dirección General de Ganadería|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Agricultura
Dirección General de Impuestos Internos|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Hacienda
Dirección General de Información y Defensa de los Afiliados a la Seguridad Social|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Trabajo
Dirección General de Jubilaciones y Pensiones a Cargo del Estado|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Hacienda
Dirección General de la Policía Nacional|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Interior y Policía
Dirección General de Mecenazgo|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Cultura
Dirección General de Medicamentos, Alimentos y Productos Sanitarios|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Salud
Dirección General de Migración|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Interior y Policía
Dirección General de Minería|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Energía y Minas
Dirección General de Museos|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Cultura
Dirección General de Pasaportes|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Relaciones Exteriores
Dirección General de Persecución del Ministerio Público|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Justicia
Dirección General de Presupuesto|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Hacienda
Dirección General de Proyectos Estratégicos y Especiales de la Presidencia|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Presidencia
Dirección General de Riesgos Agropecuarios|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Agricultura
Dirección General de Servicios Penitenciarios y Correccionales|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Justicia
Dirección Nacional de Control de Drogas|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Presidencia
Empresa Metropolitana de Transporte, (EMT). S.A.|Empresa Pública|Poder Ejecutivo|Presidencia
Fondo de Pensiones y Jubilaciones de los Trabajadores de la Construcción|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Trabajo
Fondo Especial para el Desarrollo Agropecuario|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Agricultura
Fondo Nacional para el Medio Ambiente y Recursos Naturales|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Medio Ambiente y Recursos Naturales
Gabinete de Coordinación de Política Social|Órgano Colegiado con Estructura Operativa|Poder Ejecutivo|Social
Industria Nacional de la Aguja|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Industria, Comercio y MIPYMES
Instituto Agrario Dominicano|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Agricultura
Instituto Azucarero Dominicano|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Agricultura
Instituto de Auxilios|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Social
Instituto de Desarrollo y Crédito Cooperativo|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Agricultura
Instituto de Educación Superior en Formación Diplomática y Consular “Dr. Eduardo Latorre Rodríguez”|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Educación Superior, Ciencia y Tecnología
Instituto de Estabilización de Precios|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Agricultura
Instituto de Formación Turística del Caribe|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Turismo
Instituto de Innovación en Biotecnología e Industria|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Educación Superior, Ciencia y Tecnología
Instituto del Tabaco de la República Dominicana|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Agricultura
Instituto Dominicano de Aviación Civil|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Presidencia
Instituto Dominicano de Evaluación e Investigación de la Calidad Educativa|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Educación
Instituto Dominicano de Investigaciones Agropecuarias y Forestales|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Agricultura
Instituto Dominicano de las Telecomunicaciones|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Presidencia
Instituto Dominicano de Meteorología|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Medio Ambiente y Recursos Naturales
Instituto Dominicano de Prevención y Protección de Riesgos Laborales|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Trabajo
Instituto Dominicano del Café|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Agricultura
